time,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunshine_duration,daylight_duration,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,wind_direction_10m_dominant,wind_speed_10m_max,et0_fao_evapotranspiration,cloud_cover_max,cloud_cover_min,temperature_2m_mean,cloud_cover_mean,soil_moisture_0_to_100cm_mean,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,surface_pressure_min,surface_pressure_max,pressure_msl_min,pressure_msl_max,pressure_msl_mean,relative_humidity_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,soil_temperature_0_to_100cm_mean,wind_speed_10m_min,wind_speed_10m_mean,wet_bulb_temperature_2m_min,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_mean,latitude,longitude,location_id
2018-01-01,0,24.4,11.4,23.5,10.1,35208.99,38161.03,2018-01-01T07:12,2018-01-01T17:48,0.0,0.0,0.0,0.0,14.05,71,11.5,3.07,16,0,17.0,2,0.277,7.7,9.6,5.8,980.4,985.4,1010.5,1016.1,1013.2,36,85,56,21.0,2.4,7.0,8.9,15.4,11.6,25.202108,75.80994,1
2018-01-02,0,22.8,8.6,20.5,7.1,35233.59,38183.4,2018-01-02T07:12,2018-01-02T17:48,0.0,0.0,0.0,0.0,14.92,27,9.3,2.94,0,0,15.2,0,0.281,5.4,7.3,0.9,981.9,986.3,1012.2,1017.3,1014.5,24,89,56,20.8,3.2,5.9,7.5,12.4,9.8,25.202108,75.80994,1
2018-01-03,0,22.9,10.3,20.4,8.2,35260.27,38207.68,2018-01-03T07:12,2018-01-03T17:49,0.0,0.0,0.0,0.0,15.0,126,9.1,2.96,0,0,15.2,0,0.282,5.0,7.2,1.2,982.4,987.4,1012.7,1018.3,1015.2,24,80,55,20.5,1.6,6.0,7.6,12.0,9.7,25.202108,75.80994,1
2018-01-04,0,24.4,8.1,22.0,5.7,35289.14,38233.86,2018-01-04T07:12,2018-01-04T17:50,0.0,0.0,0.0,0.0,14.9,137,10.0,3.06,0,0,15.6,0,0.282,5.5,7.4,2.5,981.6,986.8,1011.9,1017.6,1014.6,24,89,56,20.3,2.6,7.6,7.0,12.9,10.1,25.202108,75.80994,1
2018-01-05,0,24.0,9.9,22.4,8.7,35320.67,38262.24,2018-01-05T07:13,2018-01-05T17:50,0.0,0.0,0.0,0.0,14.71,87,10.9,2.9,0,0,16.4,0,0.283,7.4,8.7,5.8,981.4,985.5,1011.5,1016.6,1013.7,32,87,58,20.2,1.3,5.2,8.5,14.3,11.2,25.202108,75.80994,1
2018-01-06,0,23.8,10.6,22.1,10.3,35354.65,38292.87,2018-01-06T07:13,2018-01-06T17:51,0.0,0.0,0.0,0.0,14.88,87,9.5,2.9,8,0,16.4,1,0.28,7.1,9.9,2.8,980.7,985.0,1010.8,1015.9,1013.3,26,95,59,20.2,0.4,4.8,9.9,13.6,11.2,25.202108,75.80994,1
2018-01-07,0,23.4,9.4,21.8,8.0,35391.0,38325.67,2018-01-07T07:13,2018-01-07T17:52,0.0,0.0,0.0,0.0,15.01,48,9.7,2.89,0,0,16.5,0,0.277,5.4,7.6,2.0,982.2,986.4,1012.7,1017.5,1014.7,25,86,52,20.2,0.8,4.5,7.9,12.8,10.4,25.202108,75.80994,1
2018-01-08,0,23.5,9.2,21.5,7.0,35429.62,38360.57,2018-01-08T07:13,2018-01-08T17:52,0.0,0.0,0.0,0.0,15.22,89,9.1,3.06,0,0,16.1,0,0.274,4.7,6.4,1.9,983.2,988.0,1014.4,1018.9,1016.3,24,81,50,20.2,1.3,5.2,7.3,12.6,10.0,25.202108,75.80994,1
2018-01-09,0,24.0,10.2,22.0,8.6,35470.45,38397.51,2018-01-09T07:13,2018-01-09T17:53,0.0,0.0,0.0,0.0,15.18,88,10.2,3.03,0,0,16.3,0,0.272,5.0,6.9,2.7,985.8,990.4,1016.4,1021.4,1018.5,25,78,50,20.1,2.9,5.2,8.0,12.9,10.2,25.202108,75.80994,1
2018-01-10,0,24.3,10.5,21.9,9.5,35505.58,38436.4,2018-01-10T07:13,2018-01-10T17:54,0.0,0.0,0.0,0.0,15.07,94,7.2,2.83,0,0,17.5,0,0.272,4.7,7.8,1.5,986.5,990.7,1016.8,1021.8,1018.8,23,84,46,20.0,1.0,3.3,8.8,12.9,10.6,25.202108,75.80994,1
2018-01-11,0,26.0,9.9,22.9,8.0,35503.69,38477.17,2018-01-11T07:13,2018-01-11T17:55,0.0,0.0,0.0,0.0,14.9,301,10.0,3.45,2,0,17.4,0,0.272,4.1,5.9,2.0,984.8,989.5,1015.0,1020.5,1017.4,22,75,45,20.1,3.9,6.8,7.4,13.6,10.3,25.202108,75.80994,1
2018-01-12,0,25.9,10.5,22.9,7.7,35503.19,38519.75,2018-01-12T07:13,2018-01-12T17:55,0.0,0.0,0.0,0.0,14.88,264,8.8,3.42,9,0,17.9,1,0.27,1.4,4.2,-2.3,983.3,987.9,1014.4,1018.6,1016.1,16,60,36,20.3,0.4,5.7,6.5,12.0,9.5,25.202108,75.80994,1
2018-01-13,2,26.9,13.4,25.4,11.3,33943.49,38564.07,2018-01-13T07:13,2018-01-13T17:56,0.0,0.0,0.0,0.0,12.0,167,8.7,2.92,74,1,19.5,23,0.27,5.2,7.7,2.7,983.1,988.0,1013.3,1018.5,1015.6,23,63,41,20.5,1.0,4.9,8.3,14.7,11.7,25.202108,75.80994,1
2018-01-14,0,28.2,12.4,27.5,11.2,35506.41,38610.04,2018-01-14T07:13,2018-01-14T17:57,0.0,0.0,0.0,0.0,15.16,335,9.7,3.38,5,0,19.9,0,0.268,8.6,10.1,6.5,983.2,987.7,1013.0,1018.2,1015.4,29,81,51,20.8,0.5,5.7,9.7,16.7,13.3,25.202108,75.80994,1
2018-01-15,0,27.5,12.1,25.8,11.2,35510.16,38657.6,2018-01-15T07:13,2018-01-15T17:58,0.0,0.0,0.0,0.0,15.58,325,10.7,3.47,0,0,19.3,0,0.264,6.6,10.2,2.8,983.5,989.0,1013.5,1019.6,1016.1,22,86,49,20.9,2.5,5.9,9.1,15.1,12.3,25.202108,75.80994,1
2018-01-16,0,27.4,11.1,25.5,8.6,35515.34,38706.68,2018-01-16T07:13,2018-01-16T17:58,0.0,0.0,0.0,0.0,16.03,128,9.9,3.61,0,0,18.8,0,0.263,4.0,6.1,1.3,981.1,986.8,1011.2,1017.5,1013.9,18,62,40,20.8,1.1,5.9,7.3,13.8,10.9,25.202108,75.80994,1
2018-01-17,2,29.8,12.6,28.6,10.7,35521.99,38757.2,2018-01-17T07:13,2018-01-17T17:59,0.0,0.0,0.0,0.0,14.04,129,13.5,3.83,66,0,21.0,14,0.262,6.8,8.7,2.9,980.4,985.1,1010.7,1015.4,1012.8,24,67,41,21.1,2.7,7.4,9.1,16.8,13.0,25.202108,75.80994,1
2018-01-18,0,29.0,13.4,28.9,12.8,35530.12,38809.1,2018-01-18T07:13,2018-01-18T18:00,0.0,0.0,0.0,0.0,15.58,240,11.6,3.48,4,0,21.0,0,0.262,8.6,11.6,5.7,982.3,987.1,1012.2,1017.5,1014.3,26,89,48,21.5,0.5,5.1,10.9,17.7,13.8,25.202108,75.80994,1
2018-01-19,0,28.3,12.8,27.6,12.0,35539.73,38862.3,2018-01-19T07:13,2018-01-19T18:01,0.0,0.0,0.0,0.0,15.85,299,11.6,3.5,0,0,19.9,0,0.263,8.0,10.7,5.6,982.6,987.2,1012.9,1017.7,1015.0,25,81,50,21.7,1.8,5.6,10.6,16.3,13.1,25.202108,75.80994,1
2018-01-20,2,26.4,12.2,25.5,10.8,35550.87,38916.74,2018-01-20T07:13,2018-01-20T18:02,0.0,0.0,0.0,0.0,15.98,337,9.2,3.27,50,0,19.5,2,0.265,7.8,11.1,5.9,982.4,987.5,1012.5,1018.3,1015.1,28,76,49,21.7,0.4,5.0,9.3,15.8,12.8,25.202108,75.80994,1
2018-01-21,0,27.4,12.9,26.3,12.6,35563.52,38972.34,2018-01-21T07:13,2018-01-21T18:02,0.0,0.0,0.0,0.0,16.01,102,10.5,3.59,0,0,19.4,0,0.269,8.4,9.1,7.3,981.2,985.9,1011.0,1016.5,1013.5,30,78,51,21.6,0.5,6.0,10.5,16.4,13.0,25.202108,75.80994,1
2018-01-22,3,28.9,12.1,27.0,11.4,35577.71,39029.04,2018-01-22T07:13,2018-01-22T18:03,0.0,0.0,0.0,0.0,15.81,157,14.3,3.98,86,0,20.6,15,0.269,8.0,8.8,6.7,978.4,983.9,1008.0,1014.3,1011.0,25,80,47,21.7,0.8,7.3,10.0,16.5,13.4,25.202108,75.80994,1
2018-01-23,53,26.6,16.5,23.4,14.0,35593.47,39086.77,2018-01-23T07:12,2018-01-23T18:04,0.9,0.9,0.0,2.0,14.1,275,24.7,4.67,75,0,21.0,25,0.27,6.0,10.9,2.2,976.9,981.2,1006.6,1011.9,1009.3,24,64,40,22.0,4.4,12.3,10.2,14.9,12.8,25.202108,75.80994,1
2018-01-24,0,24.2,12.1,20.7,9.2,35610.81,39145.5,2018-01-24T07:12,2018-01-24T18:05,0.0,0.0,0.0,0.0,16.86,320,17.1,4.33,0,0,17.5,0,0.271,2.2,4.6,-2.4,980.9,986.0,1011.9,1016.7,1013.5,17,58,38,21.8,4.4,10.6,7.2,11.7,9.7,25.202108,75.80994,1
2018-01-25,0,23.6,9.1,21.1,7.2,35629.83,39205.8,2018-01-25T07:12,2018-01-25T18:05,0.0,0.0,0.0,0.0,16.87,297,8.3,3.41,0,0,15.6,0,0.275,3.5,6.3,-0.6,981.1,985.4,1011.2,1016.3,1013.5,20,77,48,21.4,4.1,6.1,6.5,12.0,9.2,25.202108,75.80994,1
2018-01-26,0,25.3,10.4,23.8,8.5,35650.55,39267.84,2018-01-26T07:11,2018-01-26T18:06,0.0,0.0,0.0,0.0,16.98,152,9.4,3.52,0,0,17.5,0,0.274,4.0,7.4,-0.2,981.1,985.6,1011.3,1016.2,1013.3,19,81,45,21.2,1.5,5.5,7.9,12.8,10.3,25.202108,75.80994,1
2018-01-27,0,26.5,9.8,24.8,7.5,35672.89,39331.52,2018-01-27T07:11,2018-01-27T18:07,0.0,0.0,0.0,0.0,17.05,159,10.2,3.67,7,0,18.0,0,0.27,3.2,5.7,0.5,980.3,985.3,1010.1,1015.9,1012.8,18,75,41,21.2,0.7,5.6,7.0,13.2,10.2,25.202108,75.80994,1
2018-01-28,0,27.6,9.9,25.8,8.1,35696.82,39396.75,2018-01-28T07:11,2018-01-28T18:07,0.0,0.0,0.0,0.0,17.06,131,10.5,3.72,1,0,18.6,0,0.269,4.4,7.0,1.1,980.6,986.1,1011.4,1016.7,1013.5,18,82,43,21.3,0.5,5.7,8.0,13.9,11.0,25.202108,75.80994,1
2018-01-29,2,28.0,12.2,26.5,10.5,35722.25,39463.43,2018-01-29T07:10,2018-01-29T18:08,0.0,0.0,0.0,0.0,17.09,95,11.8,3.75,79,0,19.5,21,0.269,4.6,7.2,0.4,982.5,987.9,1013.5,1018.5,1015.3,17,72,41,21.4,0.7,5.1,8.7,14.5,11.5,25.202108,75.80994,1
