time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,pressure_msl_max,pressure_msl_min,pressure_msl_mean,dew_point_2m_max,dew_point_2m_min,dew_point_2m_mean,cloud_cover_mean,cloud_cover_max,cloud_cover_min,surface_pressure_max,surface_pressure_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,soil_moisture_0_to_100cm_mean,soil_temperature_0_to_100cm_mean,wind_direction_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,location_id
01-01-2016,3,-26.1,-18.2,-32.3,-22.6,-37.5,35750.17,32029.2,2016-01-01T07:23,2016-01-01T17:19,0,0,0,0,12.88,76,49,1039.9,1027.8,1033.2,-25.2,-39.4,-31.9,72,100,26,533.2,517.4,6.5,4.9,2.4,-26.5,-19.2,-32.3,0.232,-11.5,87,0.58,33.989452,77.97753,1
02-01-2016,3,-28.6,-19.7,-37.4,-23.9,-42.5,35783.23,32473.39,2016-01-02T07:23,2016-01-02T17:19,0,0,0,0,13.19,76,59,1039.7,1032.3,1035.8,-25.6,-40.8,-32.5,76,100,22,534.7,509.3,6.5,4.4,1.8,-29,-20.6,-37.4,0.232,-11.5,84,0.58,33.989452,77.97753,1
03-01-2016,3,-27.9,-18.9,-36.4,-23.3,-41.6,35819.23,32513.26,2016-01-03T07:23,2016-01-03T17:20,0,0,0,0,14.34,78,65,1042.2,1031.7,1036,-23.8,-39.8,-31.5,46,100,0,534.8,512.9,6.8,5.1,3,-28.4,-20,-36.4,0.232,-11.6,87,0.58,33.989452,77.97753,1
04-01-2016,71,-22.2,-14.1,-30.6,-18.1,-35.7,35858.07,10597.14,2016-01-04T07:23,2016-01-04T17:21,1.7,0,1.4,11,9.07,80,66,1031.4,1021.6,1026.3,-18.4,-33.6,-25.8,89,100,65,535,517.2,6.5,4.1,1.3,-23.1,-15.5,-31,0.232,-11.7,93,0.56,33.989452,77.97753,1
05-01-2016,71,-21.7,-17.4,-26.4,-21.6,-31.1,35899.7,32602.22,2016-01-05T07:23,2016-01-05T17:22,0.6,0,0.98,4,12.93,81,71,1034.6,1021.4,1026,-21,-29.2,-24.7,61,93,30,532.3,520.4,4.3,3.3,1.4,-22.6,-18.5,-27,0.232,-11.6,90,0.69,33.989452,77.97753,1
06-01-2016,3,-24.9,-20.7,-29.3,-25.2,-34.3,35944.02,31105.18,2016-01-06T07:24,2016-01-06T17:23,0,0,0,0,14.2,78,64,1038.2,1028.1,1033,-25.8,-32.6,-28.8,85,100,2,530.3,522.4,5.8,4.3,3.1,-25.6,-21.6,-29.7,0.232,-11.6,87,0.54,33.989452,77.97753,1
07-01-2016,71,-24.6,-20.1,-29.5,-24.4,-34.3,35991,31832.53,2016-01-07T07:24,2016-01-07T17:23,0,0,0.14,0,13.83,78,68,1034.1,1028.2,1030.4,-24.5,-32.6,-28,92,100,63,531,519,5,3.7,1.8,-25.3,-21.1,-30,0.232,-11.6,90,0.59,33.989452,77.97753,1
08-01-2016,71,-24.7,-20.1,-28.7,-24.4,-33.5,36040.53,27718.44,2016-01-08T07:24,2016-01-08T17:24,0.5,0,0.98,4,11.85,78,60,1031.7,1024.6,1027.6,-25.8,-31.7,-28.6,82,100,46,528.7,518.2,5,3.1,0.5,-25.4,-21.1,-29.2,0.232,-11.6,89,0.56,33.989452,77.97753,1
09-01-2016,3,-26.4,-21,-31,-25.5,-35.8,36092.55,32814.67,2016-01-09T07:24,2016-01-09T17:25,0,0,0,0,14.72,77,59,1040.2,1033,1036.3,-26.6,-34.3,-30.4,54,98,0,532.6,520.9,5.4,4.4,3.3,-27,-21.9,-31.3,0.232,-11.7,90,0.55,33.989452,77.97753,1
10-01-2016,0,-26.5,-19.9,-31.8,-24.3,-36.9,36146.99,32874.47,2016-01-10T07:24,2016-01-10T17:26,0,0,0,0,15.14,74,54,1035.3,1028.8,1032.7,-25.1,-36.8,-31.3,1,9,0,531.5,518.1,6.1,5,3.7,-26.9,-20.9,-31.8,0.232,-11.8,88,0.57,33.989452,77.97753,1
11-01-2016,3,-25.4,-19.1,-31.1,-23.6,-36.1,36203.77,32936.77,2016-01-11T07:24,2016-01-11T17:27,0,0,0,0,14.8,68,55,1033.3,1024.2,1029.2,-25.4,-36.1,-30.7,45,97,0,530.7,517.7,6.1,4.9,3.3,-25.9,-20.1,-31.1,0.232,-11.9,87,0.59,33.989452,77.97753,1
12-01-2016,3,-24,-17.7,-28.3,-21.9,-33.2,36262.82,31864.98,2016-01-12T07:23,2016-01-12T17:28,0,0,0,0,13.98,75,50,1023.9,1019.2,1021.7,-25.2,-35.2,-29.8,67,100,15,529.2,516.2,5.8,4.4,1.8,-24.5,-18.8,-28.8,0.232,-12,87,0.7,33.989452,77.97753,1
13-01-2016,3,-29.5,-21.4,-36.5,-25.4,-41.6,36324.06,33068.54,2016-01-13T07:23,2016-01-13T17:29,0,0,0,0,15.19,75,58,1030.8,1022,1027.9,-27.1,-39.9,-33.5,33,89,0,529.1,505.6,6.5,4.7,2.1,-29.9,-22.1,-36.5,0.232,-12.1,84,0.56,33.989452,77.97753,1
14-01-2016,71,-26.8,-19.2,-34.7,-23.6,-39.7,36387.43,29016.35,2016-01-14T07:23,2016-01-14T17:30,0,0,0.42,0,12.53,75,56,1031.8,1022.7,1027.6,-25.2,-38,-30.9,93,100,42,529.5,512.1,6.5,4.3,2.5,-27.3,-20.2,-34.7,0.232,-12.2,88,0.52,33.989452,77.97753,1
15-01-2016,71,-22.8,-19.2,-26.6,-23.6,-31.2,36452.89,28710.42,2016-01-15T07:23,2016-01-15T17:31,0.4,0,1.26,4,11.37,79,66,1035.3,1022.3,1026.4,-23.9,-29.4,-26.2,89,100,60,529.6,519.6,4,3,1,-23.7,-20.3,-27.2,0.232,-12.2,84,0.56,33.989452,77.97753,1
16-01-2016,3,-25.4,-19.4,-30.5,-23.7,-35.5,36521.13,33284.25,2016-01-16T07:23,2016-01-16T17:31,0,0,0,0,15.83,77,52,1040.2,1025.7,1033.2,-25.9,-33.7,-29.9,24,90,0,532,519.8,6.5,5,3.8,-26,-20.4,-30.9,0.232,-12.2,87,0.62,33.989452,77.97753,1
17-01-2016,1,-27.7,-20.8,-33.7,-24.8,-38.8,36592.31,33362.17,2016-01-17T07:22,2016-01-17T17:32,0,0,0,0,15.92,74,49,1027.5,1021.7,1024.7,-26.3,-39.5,-32.4,5,37,0,526.7,511.2,6.1,4.7,2.5,-28.1,-21.6,-33.7,0.232,-12.3,90,0.59,33.989452,77.97753,1
18-01-2016,3,-28.1,-21.4,-33.4,-25.6,-38.3,36666.3,33443.08,2016-01-18T07:22,2016-01-18T17:33,0,0,0,0,14.25,74,56,1026.7,1020.2,1023.4,-27.8,-36.8,-32.2,70,92,23,525.1,511,6.2,3.9,0.8,-28.6,-22.1,-33.5,0.232,-12.4,96,0.53,33.989452,77.97753,1
19-01-2016,3,-26.7,-21.7,-30.7,-25.9,-35.4,36742.96,31083.27,2016-01-19T07:22,2016-01-19T17:34,0,0,0,0,13.53,76,63,1032.9,1021.7,1027.5,-26.7,-33.8,-30.3,67,100,0,527.3,513.7,4.8,3.6,2.1,-27.3,-22.5,-31,0.232,-12.5,69,0.56,33.989452,77.97753,1
20-01-2016,2,-32.1,-24.1,-40.9,-28,-46,36822.16,33613.24,2016-01-20T07:21,2016-01-20T17:35,0,0,0,0,16.49,71,52,1040.7,1033,1037.1,-31,-44.5,-36.7,23,75,0,529,505.7,6.5,4.7,2.3,-32.2,-24.3,-40.9,0.232,-12.6,84,0.5,33.989452,77.97753,1
21-01-2016,0,-29.8,-21.9,-36,-25.8,-41.1,36903.75,33702.17,2016-01-21T07:21,2016-01-21T17:36,0,0,0,0,16.59,66,46,1040,1035.6,1037.5,-28.3,-42.7,-35.5,0,0,0,532.3,513.9,6.1,4.8,3.1,-30,-22.5,-36,0.232,-12.8,86,0.57,33.989452,77.97753,1
22-01-2016,0,-29.7,-21.5,-36.5,-25.3,-41.6,36987.61,33793.47,2016-01-22T07:21,2016-01-22T17:37,0,0,0,0,16.69,66,42,1037.2,1031.5,1034.6,-28.2,-43.9,-35.3,0,0,0,530.8,511.8,6.5,5,2.8,-29.9,-22.1,-36.5,0.232,-12.9,85,0.59,33.989452,77.97753,1
23-01-2016,0,-29.2,-20.8,-36.1,-24.6,-41.3,37073.61,33886.98,2016-01-23T07:20,2016-01-23T17:38,0,0,0,0,16.8,67,49,1037.6,1031.1,1034.4,-28.4,-42.2,-34.6,0,0,0,531.8,512.7,6.5,4.9,2.8,-29.4,-21.4,-36.1,0.232,-13.1,84,0.62,33.989452,77.97753,1
24-01-2016,1,-28.7,-20.5,-35.8,-24.3,-40.9,37161.62,33982.56,2016-01-24T07:20,2016-01-24T17:39,0,0,0,0,16.86,68,47,1035.9,1030.8,1033.4,-28.6,-41.1,-34.1,5,40,0,531.5,512.3,6.1,4.6,2.4,-28.9,-21,-35.8,0.232,-13.2,82,0.65,33.989452,77.97753,1
25-01-2016,3,-28.1,-19.8,-35.7,-23.7,-40.8,37251.5,34080.07,2016-01-25T07:19,2016-01-25T17:40,0,0,0,0,16.07,74,47,1034.6,1027.3,1031.2,-26.6,-41.3,-33.4,38,91,0,530.6,512,6.1,4.3,2,-28.5,-20.4,-35.7,0.232,-13.3,83,0.66,33.989452,77.97753,1
